date,text,place
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @eurogamer: Japan's government has issued safety warnings after Pok?mon Go finally launches there:  https://t.co/unE8RGRMfQ https://t.co?,NA
Fri Jul 22 20:58:45 +0000 2016,"RT @AnEsonGib: I owe so much to this game, my legit Pokemon go weight loss! :) https://t.co/9f9wyPo3Ly",NA
Fri Jul 22 20:58:45 +0000 2016,I HATE POKEMON GO WITH ALL OF MY HEART,"Colorado, USA"
Fri Jul 22 20:58:46 +0000 2016,RT @ZerkaaHD: PULLED OVER BY THE POLICE! (Pokemon Go): https://t.co/JqXTQkCPIj via @YouTube,NA
Fri Jul 22 20:58:47 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:48 +0000 2016,This is why I don't play it even though I really want to. https://t.co/Moq34Ty2cX,NA
Fri Jul 22 20:58:48 +0000 2016,"RT @TheDeeKosh: NEW VIDEO is up! @FifthHarmony talks boys, Pokemon Go and play a ""kpop"" game *winks* --&gt; https://t.co/A8t9lZKydF https://t.?",NA
